ts_ms,raw_hex,driver_id,pos_rad,vel_rad_s,tau_Nm,pos_raw_i16,vel_raw_s12,tau_raw_s12
1754831781155,01 7C 2F 83 98 13,1,12.127674,-63.221788,-17.841720,31791,-1991,-2029
1754831781173,01 7C 2F 83 98 13,1,12.127674,-63.221788,-17.841720,31791,-1991,-2029
1754831781186,01 7C 2F 83 98 13,1,12.127674,-63.221788,-17.841720,31791,-1991,-2029
1754831781199,01 7C 2F 83 98 13,1,12.127674,-63.221788,-17.841720,31791,-1991,-2029
1754831781213,01 7C 2F 83 98 13,1,12.127674,-63.221788,-17.841720,31791,-1991,-2029
1754831781229,01 7D 0C 83 37 F5,1,12.211982,-63.412311,17.912066,32012,-1997,2037
1754831781242,01 7D 0C 83 37 F5,1,12.211982,-63.412311,17.912066,32012,-1997,2037
1754831781258,01 7D 0C 83 37 F5,1,12.211982,-63.412311,17.912066,32012,-1997,2037
1754831781269,01 7D 0C 83 37 F5,1,12.211982,-63.412311,17.912066,32012,-1997,2037
1754831781282,01 7D 0C 83 37 F5,1,12.211982,-63.412311,17.912066,32012,-1997,2037
1754831781295,01 7D 0C 83 37 F5,1,12.211982,-63.412311,17.912066,32012,-1997,2037
1754831781312,01 7D 0C 83 37 F5,1,12.211982,-63.412311,17.912066,32012,-1997,2037
1754831781333,01 7D CF 82 B7 BF,1,12.286370,-63.666341,17.437225,32207,-2005,1983
1754831781346,01 7D CF 82 B7 BF,1,12.286370,-63.666341,17.437225,32207,-2005,1983
1754831781358,01 7D CF 82 B7 BF,1,12.286370,-63.666341,17.437225,32207,-2005,1983
1754831781376,01 7D CF 82 B7 BF,1,12.286370,-63.666341,17.437225,32207,-2005,1983
1754831781388,01 7D CF 82 B7 BF,1,12.286370,-63.666341,17.437225,32207,-2005,1983
1754831781400,01 7D CF 82 B7 BF,1,12.286370,-63.666341,17.437225,32207,-2005,1983
1754831781415,01 7D CF 82 B7 BF,1,12.286370,-63.666341,17.437225,32207,-2005,1983
1754831781427,01 7E 85 82 98 4F,1,12.355800,-63.729849,-17.314118,32389,-2007,-1969
1754831781439,01 7E 85 82 98 4F,1,12.355800,-63.729849,-17.314118,32389,-2007,-1969
1754831781451,01 7E 85 82 98 4F,1,12.355800,-63.729849,-17.314118,32389,-2007,-1969
1754831781464,01 7E 85 82 98 4F,1,12.355800,-63.729849,-17.314118,32389,-2007,-1969
1754831781480,01 7E 85 82 98 4F,1,12.355800,-63.729849,-17.314118,32389,-2007,-1969
1754831781494,01 7E 85 82 98 4F,1,12.355800,-63.729849,-17.314118,32389,-2007,-1969
1754831781510,01 7E 85 82 98 4F,1,12.355800,-63.729849,-17.314118,32389,-2007,-1969
