ts_ms,can_id,dlc,raw_hex,driver_id,pos_rad,vel_rad_s,tau_Nm,pos_raw_i16,vel_raw_s12,tau_raw_s12
1754830157747,0x064,6,01 FF FF 80 07 F3,1,12.500000,0.015873,-0.109890,-1,-2048,2035
1754830157747,0x064,6,01 FF FF 80 07 F3,1,12.500000,0.015873,-0.109890,-1,-2048,2035
1754830157748,0x064,6,01 FF FF 80 07 A7,1,12.500000,0.015873,-0.778022,-1,-2048,1959
1754830157750,0x064,6,01 FF FF 80 07 A7,1,12.500000,0.015873,-0.778022,-1,-2048,1959
1754830157757,0x064,6,01 FF FF 80 07 A7,1,12.500000,0.015873,-0.778022,-1,-2048,1959
1754830157762,0x064,6,01 FF FF 80 07 A7,1,12.500000,0.015873,-0.778022,-1,-2048,1959
1754830157767,0x064,6,01 FF FF 80 07 A7,1,12.500000,0.015873,-0.778022,-1,-2048,1959
1754830157773,0x064,6,01 FF FF 80 07 A7,1,12.500000,0.015873,-0.778022,-1,-2048,1959
1754830157778,0x064,6,01 FF FF 80 07 A7,1,12.500000,0.015873,-0.778022,-1,-2048,1959
1754830157786,0x064,6,01 FF FF 80 07 A7,1,12.500000,0.015873,-0.778022,-1,-2048,1959
1754830157789,0x064,6,01 FF FF 80 07 A7,1,12.500000,0.015873,-0.778022,-1,-2048,1959
1754830157795,0x064,6,01 FF FF 80 07 FB,1,12.500000,0.015873,-0.039560,-1,-2048,2043
1754830157801,0x064,6,01 FF FF 80 07 FB,1,12.500000,0.015873,-0.039560,-1,-2048,2043
1754830157806,0x064,6,01 FF FF 80 07 FB,1,12.500000,0.015873,-0.039560,-1,-2048,2043
1754830157811,0x064,6,01 FF FF 80 07 FB,1,12.500000,0.015873,-0.039560,-1,-2048,2043
1754830157816,0x064,6,01 FF FF 80 07 FB,1,12.500000,0.015873,-0.039560,-1,-2048,2043
1754830157822,0x064,6,01 FF FF 80 07 FB,1,12.500000,0.015873,-0.039560,-1,-2048,2043
1754830157827,0x064,6,01 FF FF 80 07 FB,1,12.500000,0.015873,-0.039560,-1,-2048,2043
1754830157833,0x064,6,01 FF FF 80 07 FB,1,12.500000,0.015873,-0.039560,-1,-2048,2043
1754830157840,0x064,6,01 FF FF 80 07 FB,1,12.500000,0.015873,-0.039560,-1,-2048,2043
1754830157843,0x064,6,01 FF FF 80 07 FB,1,12.500000,0.015873,-0.039560,-1,-2048,2043
1754830157849,0x064,6,01 FF FF 80 07 FB,1,12.500000,0.015873,-0.039560,-1,-2048,2043
1754830157855,0x064,6,01 FF FF 80 07 FB,1,12.500000,0.015873,-0.039560,-1,-2048,2043
1754830157862,0x064,6,01 FF FF 80 07 FB,1,12.500000,0.015873,-0.039560,-1,-2048,2043
1754830157867,0x064,6,01 FF FF 80 07 FB,1,12.500000,0.015873,-0.039560,-1,-2048,2043
1754830157873,0x064,6,01 FF FF 80 07 FB,1,12.500000,0.015873,-0.039560,-1,-2048,2043
1754830157878,0x064,6,01 FF FF 80 07 FB,1,12.500000,0.015873,-0.039560,-1,-2048,2043
1754830157884,0x064,6,01 FF FF 80 07 FB,1,12.500000,0.015873,-0.039560,-1,-2048,2043
1754830157889,0x064,6,01 FF FF 80 07 FB,1,12.500000,0.015873,-0.039560,-1,-2048,2043
1754830157896,0x064,6,01 FF FF 80 08 3D,1,12.500000,0.015873,0.540659,-1,-2048,-1987
1754830157905,0x064,6,01 FF FF 80 08 3D,1,12.500000,0.015873,0.540659,-1,-2048,-1987
1754830157913,0x064,6,01 FF FF 80 08 3D,1,12.500000,0.015873,0.540659,-1,-2048,-1987
1754830157917,0x064,6,01 FF FF 80 08 3D,1,12.500000,0.015873,0.540659,-1,-2048,-1987
1754830157922,0x064,6,01 FF FF 80 08 3D,1,12.500000,0.015873,0.540659,-1,-2048,-1987
1754830157927,0x064,6,01 FF FF 80 08 3D,1,12.500000,0.015873,0.540659,-1,-2048,-1987
1754830157932,0x064,6,01 FF FF 80 08 3D,1,12.500000,0.015873,0.540659,-1,-2048,-1987
1754830157938,0x064,6,01 FF FF 80 08 3D,1,12.500000,0.015873,0.540659,-1,-2048,-1987
1754830157943,0x064,6,01 FF FF 80 08 3D,1,12.500000,0.015873,0.540659,-1,-2048,-1987
1754830157959,0x064,6,01 FF FF 80 08 3D,1,12.500000,0.015873,0.540659,-1,-2048,-1987
1754830157959,0x064,6,01 FF FF 80 08 3D,1,12.500000,0.015873,0.540659,-1,-2048,-1987
1754830157966,0x064,6,01 FF FF 80 08 3D,1,12.500000,0.015873,0.540659,-1,-2048,-1987
