ts_ms,can_id,dlc,raw_hex,driver_id,pos_rad,vel_rad_s,tau_Nm,pos_raw_i16,vel_raw_s12,tau_raw_s12
1754829521576,0x064,6,01 FF FF 80 08 28,1,12.500000,0.015873,0.356044,-1,-2048,-2008
1754829521576,0x064,6,01 FF FF 80 08 28,1,12.500000,0.015873,0.356044,-1,-2048,-2008
1754829521577,0x064,6,01 FF FF 80 07 D8,1,12.500000,0.015873,-0.347253,-1,-2048,2008
1754829521584,0x064,6,01 FF FF 80 07 D8,1,12.500000,0.015873,-0.347253,-1,-2048,2008
1754829521589,0x064,6,01 FF FF 80 07 D8,1,12.500000,0.015873,-0.347253,-1,-2048,2008
1754829521598,0x064,6,01 FF FF 80 07 D8,1,12.500000,0.015873,-0.347253,-1,-2048,2008
1754829521609,0x064,6,01 FF FF 80 07 D8,1,12.500000,0.015873,-0.347253,-1,-2048,2008
1754829521610,0x064,6,01 FF FF 80 07 D8,1,12.500000,0.015873,-0.347253,-1,-2048,2008
1754829521615,0x064,6,01 FF FF 80 07 E9,1,12.500000,0.015873,-0.197802,-1,-2048,2025
1754829521621,0x064,6,01 FF FF 80 07 E9,1,12.500000,0.015873,-0.197802,-1,-2048,2025
1754829521626,0x064,6,01 FF FF 80 07 E9,1,12.500000,0.015873,-0.197802,-1,-2048,2025
1754829521632,0x064,6,01 FF FF 80 07 E9,1,12.500000,0.015873,-0.197802,-1,-2048,2025
1754829521637,0x064,6,01 FF FF 80 07 E9,1,12.500000,0.015873,-0.197802,-1,-2048,2025
1754829521644,0x064,6,01 FF FF 80 07 E9,1,12.500000,0.015873,-0.197802,-1,-2048,2025
1754829521649,0x064,6,01 FF FF 80 07 E9,1,12.500000,0.015873,-0.197802,-1,-2048,2025
1754829521655,0x064,6,01 FF FF 80 07 E9,1,12.500000,0.015873,-0.197802,-1,-2048,2025
1754829521661,0x064,6,01 FF FF 80 07 E9,1,12.500000,0.015873,-0.197802,-1,-2048,2025
1754829521667,0x064,6,01 FF FF 80 07 E9,1,12.500000,0.015873,-0.197802,-1,-2048,2025
1754829521673,0x064,6,01 FF FF 80 07 E9,1,12.500000,0.015873,-0.197802,-1,-2048,2025
1754829521682,0x064,6,01 FF FF 80 07 E9,1,12.500000,0.015873,-0.197802,-1,-2048,2025
1754829521689,0x064,6,01 FF FF 80 07 E9,1,12.500000,0.015873,-0.197802,-1,-2048,2025
1754829521692,0x064,6,01 FF FF 80 07 E9,1,12.500000,0.015873,-0.197802,-1,-2048,2025
1754829521696,0x064,6,01 FF FF 80 07 E9,1,12.500000,0.015873,-0.197802,-1,-2048,2025
1754829521702,0x064,6,01 FF FF 80 07 E9,1,12.500000,0.015873,-0.197802,-1,-2048,2025
1754829521707,0x064,6,01 FF FF 80 07 E9,1,12.500000,0.015873,-0.197802,-1,-2048,2025
1754829521713,0x064,6,01 FF FF 80 08 29,1,12.500000,0.015873,0.364835,-1,-2048,-2007
1754829521718,0x064,6,01 FF FF 80 08 29,1,12.500000,0.015873,0.364835,-1,-2048,-2007
1754829521723,0x064,6,01 FF FF 80 08 29,1,12.500000,0.015873,0.364835,-1,-2048,-2007
1754829521730,0x064,6,01 FF FF 80 08 29,1,12.500000,0.015873,0.364835,-1,-2048,-2007
1754829521739,0x064,6,01 FF FF 80 08 29,1,12.500000,0.015873,0.364835,-1,-2048,-2007
1754829521750,0x064,6,01 FF FF 80 08 29,1,12.500000,0.015873,0.364835,-1,-2048,-2007
1754829521750,0x064,6,01 FF FF 80 08 29,1,12.500000,0.015873,0.364835,-1,-2048,-2007
1754829521756,0x064,6,01 FF FF 80 08 29,1,12.500000,0.015873,0.364835,-1,-2048,-2007
1754829521761,0x064,6,01 FF FF 80 08 29,1,12.500000,0.015873,0.364835,-1,-2048,-2007
1754829521766,0x064,6,01 FF FF 80 08 29,1,12.500000,0.015873,0.364835,-1,-2048,-2007
1754829521772,0x064,6,01 FF FF 80 08 29,1,12.500000,0.015873,0.364835,-1,-2048,-2007
1754829521777,0x064,6,01 FF FF 80 08 29,1,12.500000,0.015873,0.364835,-1,-2048,-2007
1754829521783,0x064,6,01 FF FF 80 08 29,1,12.500000,0.015873,0.364835,-1,-2048,-2007
1754829521790,0x064,6,01 FF FF 80 08 29,1,12.500000,0.015873,0.364835,-1,-2048,-2007
1754829521803,0x064,6,01 FF FF 80 08 29,1,12.500000,0.015873,0.364835,-1,-2048,-2007
1754829521804,0x064,6,01 FF FF 80 08 29,1,12.500000,0.015873,0.364835,-1,-2048,-2007
1754829521813,0x064,6,01 FF FF 80 08 29,1,12.500000,0.015873,0.364835,-1,-2048,-2007
1754829521825,0x064,6,01 FF FF 80 07 BA,1,12.500000,0.015873,-0.610989,-1,-2048,1978
1754829521827,0x064,6,01 FF FF 80 07 BA,1,12.500000,0.015873,-0.610989,-1,-2048,1978
1754829521830,0x064,6,01 FF FF 80 07 BA,1,12.500000,0.015873,-0.610989,-1,-2048,1978
1754829521832,0x064,6,01 FF FF 80 07 BA,1,12.500000,0.015873,-0.610989,-1,-2048,1978
1754829521838,0x064,6,01 FF FF 80 07 BA,1,12.500000,0.015873,-0.610989,-1,-2048,1978
1754829521845,0x064,6,01 FF FF 80 07 BA,1,12.500000,0.015873,-0.610989,-1,-2048,1978
1754829521848,0x064,6,01 FF FF 80 07 BA,1,12.500000,0.015873,-0.610989,-1,-2048,1978
1754829521858,0x064,6,01 FF FF 80 07 BA,1,12.500000,0.015873,-0.610989,-1,-2048,1978
1754829521859,0x064,6,01 FF FF 80 07 BA,1,12.500000,0.015873,-0.610989,-1,-2048,1978
1754829521864,0x064,6,01 FF FF 80 07 BA,1,12.500000,0.015873,-0.610989,-1,-2048,1978
1754829521869,0x064,6,01 FF FF 80 07 BA,1,12.500000,0.015873,-0.610989,-1,-2048,1978
1754829521875,0x064,6,01 FF FF 80 07 BA,1,12.500000,0.015873,-0.610989,-1,-2048,1978
1754829521881,0x064,6,01 FF FF 80 07 BA,1,12.500000,0.015873,-0.610989,-1,-2048,1978
1754829521887,0x064,6,01 FF FF 80 07 BA,1,12.500000,0.015873,-0.610989,-1,-2048,1978
1754829521891,0x064,6,01 FF FF 80 07 BA,1,12.500000,0.015873,-0.610989,-1,-2048,1978
1754829521901,0x064,6,01 FF FF 80 07 BA,1,12.500000,0.015873,-0.610989,-1,-2048,1978
